,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
10,2016 Maruti Swift Dzire,2015,Diesel,"95,459 Kms",1248 cc,1st Owner,Manual,26.59 kmpl,74bhp,190Nm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,13.8 Seconds,DDiS Diesel Engine,"6,30,000"
11,2015 Maruti Ritz,2014,Petrol,"67,959 Kms",1197 cc,1st Owner,Manual,18.5 kmpl,85.80bhp,114Nm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,15 Seconds,K Series Petrol Engine,"3,97,500"
12,2017 Hyundai Grand i10,2016,Petrol,"8,189 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,82bhp,114Nm,5,White,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,"5,00,000"
13,2014 Maruti Celerio,2014,Petrol,"16,615 Kms",998 cc,2nd Owner,Automatic,23.1 kmpl,67.04bhp,90Nm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,"3,72,000"
14,Hyundai Grand i10 CRDi Magna,2013,Diesel,"36,208 kms",1120 CC,First Owner,Manual,24.0 kmpl,70 bhp,160Nm@ 1500-2750rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,15.6 Seconds,U2 CRDi Diesel Engine,4.25 Lakh*
15,Mercedes-Benz E-Class Expression E 220d,2017,Diesel,"31,037 kms",1950 CC,First Owner,Automatic,16.1 kmpl,191.76 bhp,400Nm@ 1600-2800rpm,5,White,9 Speed,RWD,Electric,Ventilated Disc,Ventilated Disc,7.6 Seconds,In-Line 4 Cylinder diesel Engine,46 Lakh*
16,Ford EcoSport 1.5 DV5 MT Trend,2013,Diesel,"1,06,000 kms",1498 CC,First Owner,Manual,22.7 kmpl,89.84 bhp,204Nm@ 2000-2750rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,13.5 Seconds,TDCi Diesel Engine,5.35 Lakh*
17,Maruti Wagon R CNG LXI,2018,CNG,"60,000 kms",998 CC,Second Owner,Manual,32.52 km/kg,58.33 bhp,78Nm@ 3500rpm,5,White,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,K10B Petrol Engine,4.85 Lakh*
18,2018 Maruti Alto 800,2017,Petrol,"90,557 Kms",796 cc,1st Owner,Manual,24.7 kmpl,47.3bhp,69Nm,5,White,5 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,"2,60,000"
19,Maruti Vitara Brezza ZDi,2017,Diesel,"60,710 kms",1248 CC,First Owner,Manual,24.3 kmpl,88.5 bhp,200Nm@ 1750rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,12.36 Seconds,DDiS 200 Diesel Engine,7.7 Lakh*
