,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
247,Toyota Innova 2.5 V Diesel 8-seater,2010,Diesel,"1,38,000 kms",2494 CC,Second Owner,Manual,12.8 kmpl,102 bhp,20.4@ 1400-3400(kgm@ rpm),8,White,5 Speed,-,Power,Ventilated Disc,Drum,17.5 seconds,In-Line Engine,5.9 Lakh*
248,Toyota Etios V,2011,Petrol,"74,000 kms",1496 CC,First Owner,Manual,17.6 kmpl,null bhp,5,5,Red,5 Speed,-,Power,-,-,-,null,3.75 Lakh*
249,Honda Brio VX AT,2013,Petrol,"33,000 kms",1198 CC,First Owner,Automatic,16.5 kmpl,86.8 bhp,109Nm@ 4500rpm,5,Red,5 Speed,FWD,Power,Disc,Drum,16 Seconds,i-VTEC Engine,4.5 Lakh*
250,Mahindra XUV500 W8 2WD,2013,Diesel,"68,000 kms",2179 CC,First Owner,Manual,15.1 kmpl,140 bhp,330Nm@ 1600-2800rpm,7,White,5 Speed,FWD,Power,Disc & Caliper Type,Disc & Caliper Type,12.5 Seconds,mHawk Diesel Engine,5.9 Lakh*
251,Volkswagen Polo Diesel Highline 1.2L,2013,Diesel,"53,000 kms",1199 CC,Second Owner,Manual,22.07 kmpl,73.9 bhp,180Nm@ 2000rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,14.4 Seconds,In-Line Diesel Engine,3.9 Lakh*
252,Honda Mobilio S i DTEC,2015,Diesel,"70,000 kms",1498 CC,First Owner,Manual,24.2 kmpl,98.6 bhp,200Nm@ 1750rpm,7,Silver,6 Speed,FWD,Power,Disc,Drum,14 Seconds,i-DTEC Engine,5.5 Lakh*
253,Honda Amaze VX i-DTEC,2013,Diesel,"74,000 kms",1498 CC,First Owner,Manual,25.8 kmpl,98.6 bhp,200Nm@ 1750rpm,5,-,5 Speed,FWD,Power,Disc,Drum,17 Seconds,i-DTEC Diesel Engine,3.75 Lakh*
254,Mahindra TUV 300 T8 AMT,2018,Diesel,"22,000 kms",1493 CC,First Owner,Automatic,18.49 kmpl,100 bhp,230Nm@ 1500-2250rpm,7,White,6 Speed,RWD,Power,Disc,Drum,13.9 Seconds,mHawk 80 Diesel Engine,7 Lakh*
255,Maruti Alto 800 VXI,2018,Petrol,"22,874 kms",796 CC,First Owner,Manual,24.7 kmpl,47.3 bhp,69Nm@ 3500rpm,5,White,5 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,4 Lakh*
256,Toyota Fortuner 4x2 Manual,2012,Diesel,"86,500 kms",2982 CC,First Owner,Manual,13.0 kmpl,168.5 bhp,343Nm@ 1400-3400rpm,7,White,6 Speed,FWD,Power,Ventilated Disc,Drum,9.6 Seconds,D-4D Diesel Engine,11.75 Lakh*
257,Hyundai Verna CRDi 1.6 SX Option,2018,Diesel,"81,000 kms",1582 CC,First Owner,Manual,22.0 kmpl,126.2 bhp,259.87nm@ 1500-3000rpm,5,White,5 Speed,FWD,Power,Disc,Drum,-,U2 VGT Diesel Engine,9.75 Lakh*
258,Nissan Terrano XL Plus 85 PS,2014,Diesel,"64,100 kms",1461 CC,First Owner,Manual,20.45 kmpl,83.8 bhp,200Nm@ 1900rpm,5,Black,5 Speed,FWD,Power,Disc,Drum,14 Seconds,K9K Diesel Engine,4.75 Lakh*
259,Hyundai Santa Fe 2WD AT,2014,Diesel,"97,000 kms",2199 CC,First Owner,Automatic,13.01 kmpl,194.3 bhp,436.39Nm@ 1800-2500rpm,7,White,6 Speed,FWD,Power,Ventilated Disc,Solid Disc,11.2 Seconds,CRDi Diesel Engine,12.51 Lakh*
260,Hyundai Grand i10 1.2 CRDi Magna,2017,Diesel,"44,500 kms",1186 CC,First Owner,Manual,24.0 kmpl,73.97 bhp,190.24nm@ 1750-2250rpm,5,White,5 Speed,FWD,Power,Disc,Drum,13.21 Seconds,U2 CRDi Diesel Engine,5.25 Lakh*
261,Honda Jazz 1.5 V i DTEC,2016,Diesel,"66,000 kms",1498 CC,First Owner,Manual,27.3 kmpl,98.6 bhp,200Nm@ 1750rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,13.7 Seconds,i-DTEC Diesel Engine,5.75 Lakh*
262,Volkswagen Polo Diesel Comfortline 1.2L,2011,Diesel,"58,000 kms",1199 CC,First Owner,Manual,22.07 kmpl,73.9 bhp,180Nm@ 2000rpm,5,Orange,5 Speed,FWD,Power,Disc,Drum,14.4 Seconds,In-Line Diesel Engine,2.75 Lakh*
263,Maruti Wagon R LXI BS IV,2010,Petrol,"66,384 kms",998 CC,Second Owner,Manual,18.9 kmpl,67.1 bhp,90Nm@ 3500rpm,5,White,6 Speed,FWD,Power,Ventilated Disc,Drum,-,K Series Petrol Engine,2.35 Lakh*
264,Hyundai i20 1.4 Asta,2018,Diesel,"62,000 kms",1396 CC,First Owner,Manual,22.54 kmpl,88.73 bhp,219.7Nm@ 1500-2750rpm,5,White,5-Speed,FWD,Power,Disc,Drum,11.9 Seconds,U2 CRDI Diesel Engine,7.25 Lakh*
265,Maruti Swift Dzire VDI,2014,Diesel,"48,000 kms",1248 CC,First Owner,Manual,23.4 kmpl,74 bhp,190Nm@ 2000rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,-,DDiS Diesel Engine,4.5 Lakh*
266,Mercedes-Benz E-Class E250 CDI Avantgarde,2013,Diesel,"78,600 kms",2143 CC,First Owner,Automatic,14.21 kmpl,203 bhp,500Nm@ 1600-1800rpm,5,White,5 Speed,Rear Wheel Drive with ESP,Power,Ventilated Disc,Ventilated Disc,7.5 Seconds,4-in-line,21.5 Lakh*
267,Honda New Accord 2011-2014 2.4 M/T,2013,Petrol,"59,000 kms",2354 CC,First Owner,Manual,12.8 kmpl,177.6 bhp,222Nm@ 4300rpm,5,Red,6 Speed,FWD,Power,Multilateral Disc,Solid Disc,-,DOHC i-VTEC,6.9 Lakh*
268,Maruti SX4 S Cross DDiS 320 Alpha,2016,Diesel,"62,000 kms",1598 CC,First Owner,Manual,22.7 kmpl,118 bhp,320Nm@ 1750rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Solid Disc,12 Seconds,DDiS 320 Diesel Engine,5.9 Lakh*
