,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
449,Maruti Ciaz 1.4 Alpha,2018,Petrol,"21,200 kms",1373 CC,First Owner,Manual,20.73 kmpl,91.1 bhp,130Nm@ 4000rpm,5,Blue,5 Speed,FWD,Power,Ventilated Disc,Drum,14 Seconds,k14B VVT Engine,8.5 Lakh*
450,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2015,Petrol,"77,252 kms",1197 CC,First Owner,Manual,18.9 kmpl,81.86 bhp,113.75nm@ 4000rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,3.6 Lakh*
451,Hyundai i10 Sportz 1.2,2011,Petrol,"88,756 kms",1197 CC,First Owner,Manual,20.36 kmpl,78.9 bhp,111.8Nm@ 4000rpm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,-,DOHC Engine,2.65 Lakh*
452,Hyundai i20 1.4 CRDi Sportz,2017,Diesel,"66,882 kms",1396 CC,First Owner,Manual,23.0 kmpl,90 bhp,22.4 kgm at 1750-2750rpm,5,Red,6 Speed,-,Power,Disk,Drum,12.96 Sec,Diesel Engine,6.4 Lakh*
453,Maruti Alto K10 2010-2014 VXI,2013,Petrol,"81,930 kms",998 CC,First Owner,Manual,20.92 kmpl,67.1 bhp,90Nm@ 3500rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,13.3 Seconds,K Series Petrol Engine,2.4 Lakh*
454,Hyundai EON Magna Plus,2012,Petrol,"77,029 kms",814 CC,First Owner,Manual,21.1 kmpl,55.2 bhp,74.5Nm@ 4000rpm,5,Red,5 Speed,FWD,Power,Disc,Drum,19 Seconds,Petrol Engine,2.9 Lakh*
455,Skoda Rapid 1.5 TDI AT Style Plus,2016,Diesel,"39,000 kms",1498 CC,First Owner,Automatic,21.66 kmpl,103.52 bhp,250Nm@ 1500-2500rpm,5,White,7 Speed,FWD,Power,Disc,Drum,12 Seconds,Diesel Engine,8.2 Lakh*
456,Maruti Swift Dzire VDi,2013,Diesel,"57,433 kms",1248 CC,Second Owner,Manual,19.3 kmpl,73.9 bhp,190Nm@ 2000rpm,5,Red,5 Speed,2 WD,Power,Ventilated Disc,Drum,-,In-Line Engine,4.1 Lakh*
457,Maruti Swift LDI Optional,2018,Diesel,"38,000 kms",1248 CC,First Owner,Manual,25.2 kmpl,74 bhp,190Nm@ 2000rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,14.8 Seconds,DDiS Diesel Engine,6.49 Lakh*
458,Maruti Celerio VXI AT,2017,Petrol,"53,001 kms",998 CC,First Owner,Automatic,23.1 kmpl,67.04 bhp,90Nm@ 3500rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,4.9 Lakh*
459,Audi A4 2.0 TDI 177 Bhp Premium Plus,2012,Diesel,"1,26,000 kms",1968 CC,First Owner,Automatic,17.11 kmpl,174.33 bhp,380Nm@ 1750-2500rpm,5,White,8 Speed,FWD,Power,Ventilated Disc,Disc,7.9 Seconds,TDI Diesel Engine,12.2 Lakh*
460,Hyundai i20 Sportz Diesel,2012,Diesel,"83,001 kms",1396 CC,First Owner,Manual,23.0 kmpl,90 bhp,22.4 kgm at 1750-2750rpm,5,Grey,6 Speed,-,Power,Disk,Drum,12.96 Sec,Diesel Engine,3.7 Lakh*
461,Mahindra XUV500 W10 2WD,2016,Diesel,"25,000 kms",2179 CC,First Owner,Manual,16.0 kmpl,140 bhp,330Nm@ 1600-2800rpm,7,White,6 Speed,FWD,Power,Disc,Disc,10 Seconds,mHawk Diesel Engine,14.75 Lakh*
462,Maruti Vitara Brezza ZDi,2016,Diesel,"60,901 kms",1248 CC,First Owner,Manual,24.3 kmpl,88.5 bhp,200Nm@ 1750rpm,5,Yellow,5 Speed,FWD,Power,Ventilated Disc,Drum,12.36 Seconds,DDiS 200 Diesel Engine,8.9 Lakh*
463,Ford Figo Diesel Celebration Edition,2013,Diesel,"1,16,674 kms",1399 CC,First Owner,Manual,20.0 kmpl,68.1 bhp,160Nm@ 2000rpm,5,Grey,5 Speed,FWD,Power,Ventilated Discs,Drum,14.8 Seconds,Duratorq Diesel Engine,2.5 Lakh*
464,Maruti Wagon R VXI,2009,Petrol,"60,243 kms",998 CC,Second Owner,Manual,21.79 kmpl,67.05 bhp,90Nm@ 3500rpm,5,Black,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,K10B Petrol Engine,2.15 Lakh*
465,Maruti Baleno Zeta 1.2,2018,Petrol,"62,126 kms",1197 CC,First Owner,Manual,21.4 kmpl,83.1 bhp,115Nm@ 4000rpm,5,Blue,5 Speed,FWD,Power,Disc,Drum,12.36 seconds,VVT Petrol Engine,6.8 Lakh*
466,Hyundai Verna VTVT 1.6 SX,2018,Petrol,"54,238 kms",1591 CC,First Owner,Manual,17.0 kmpl,121.3 bhp,151Nm@ 4850rpm,5,Black,6 Speed,FWD,Power,Disc,Drum,11.31 Seconds,VTVT Petrol Engine,9.5 Lakh*
467,Renault KWID RXT,2018,Petrol,"14,653 kms",799 CC,First Owner,Manual,25.17 kmpl,53.3 bhp,72Nm@ 4386rpm,5,BRONZE,5 Speed,FWD,Power,Disc,Drum,16 Seconds,Petrol Engine,4 Lakh*
468,Hyundai Verna Xi (Petrol),2007,Petrol,"1,83,524 kms",1599 CC,First Owner,Manual,13.9 kmpl,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5,Grey,5 Speed,FWD,Power,Ventilated Disc,Disc & Drum,12.2 seconds,In-Line Engine,1.98 Lakh*
469,Mahindra KUV 100 mFALCON G80 K8,2016,Petrol,"48,000 kms",1198 CC,First Owner,Manual,18.15 kmpl,82 bhp,115Nm@ 3500-3600rpm,6,Red,5 Speed,FWD,Power,Disc,Drum,14.5 seconds,mFALCON G80 Engine,4.8 Lakh*
470,Volkswagen Passat Diesel Comfortline AT,2013,Diesel,"93,000 kms",1968 CC,Second Owner,Automatic,14.3 kmpl,167.7 bhp,350Nm@ 1750-2500rpm,5,Grey,6 Speed,FWD,Power,Disc,Disc,11.5 Seconds,TDI Engine,8.9 Lakh*
471,Maruti Ciaz ZXi Plus,2015,Petrol,"17,000 kms",1373 CC,First Owner,Manual,20.73 kmpl,91.1 bhp,130Nm@ 4000rpm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,14 Seconds,k14B VVT Engine,7.3 Lakh*
472,Toyota Etios Liva V,2017,Petrol,"36,732 kms",5,First Owner,Manual,18.3 kmpl,Silver,5,5,Silver,-,-,Power,-,-,-,-,5.2 Lakh*
473,Maruti Alto LXi,2008,Petrol,"35,046 kms",796 CC,Second Owner,Manual,19.7 kmpl,46.3 bhp,62Nm@ 3000rpm,5,Red,5 Speed,FWD,Power,Disc,Drum,17.7 seconds,In-Line Engine,1.65 Lakh*
474,Tata Nano Twist XT,2014,Petrol,"40,981 kms",624 CC,Second Owner,Manual,25.4 kmpl,37.5 bhp,51Nm@ 4000+/-500rpm,4,Purple,4 Speed,RWD,Power,Drum,Drum,12.6 Seconds,Petrol Engine,1.3 Lakh*
475,Maruti Swift Dzire Tour LXI,2015,Petrol,"29,263 kms",1197 CC,First Owner,Manual,19.0 kmpl,85.8 bhp,114Nm@ 4000rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,12.6 Seconds,K Series VVT Engine,5.4 Lakh*
476,Honda Amaze 2016-2021 S Diesel,2013,Diesel,"74,200 kms",1498 CC,Second Owner,Manual,24.7 kmpl,98.63 bhp,200Nm@ 1750rpm,5,TITANIUM GREY,5 Speed,FWD,Electric,Disc,Drum,10.06 Seconds,i-DTEC Diesel Engine,4.25 Lakh*
477,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2015,Petrol,"77,252 kms",1197 CC,First Owner,Manual,18.9 kmpl,81.86 bhp,113.75nm@ 4000rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,3.6 Lakh*
478,Hyundai i10 Sportz 1.2,2011,Petrol,"88,756 kms",1197 CC,First Owner,Manual,20.36 kmpl,78.9 bhp,111.8Nm@ 4000rpm,5,Red,5 Speed,FWD,Power,Ventilated Disc,Drum,-,DOHC Engine,2.65 Lakh*
479,Hyundai EON Magna,2014,Petrol,"67,170 kms",814 CC,First Owner,Manual,22.0 kmpl,55 bhp,76.5Nm@ 4000rpm,5,Star Dust,5 Manual,RWD,Manual,Disc,Drum,-,800 L SOHC 3 Cylinder,2.75 Lakh*
480,Maruti Wagon R VXI,2017,Petrol,"93,419 kms",998 CC,First Owner,Manual,18.9 kmpl,67.1 bhp,90Nm@ 3500rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,-,K Series Petrol Engine,3.3 Lakh*
481,Hyundai i20 1.4 CRDi Sportz,2017,Diesel,"66,882 kms",1396 CC,First Owner,Manual,23.0 kmpl,90 bhp,22.4 kgm at 1750-2750rpm,5,Red,6 Speed,-,Power,Disk,Drum,12.96 Sec,Diesel Engine,6.4 Lakh*
